E,N,s,d,v
545186.839590963,2819201.318738371,0.0,0.0,0.0
545170.7709872607,2819234.5280416124,36.7972196404493,-2.55,7.237
545155.8727001066,2819260.3512626393,66.63977915971294,-2.55,7.058
545140.4946827217,2819288.402416574,98.63282947435202,-2.55,7.058
545125.7694038982,2819314.000938046,128.13096978259662,-2.55,7.058
545119.1303901754,2819325.5271566445,141.42203115818867,-2.55,7.058
545104.4805248235,2819351.7001240663,171.48941430758697,-2.55,7.058
545092.1258567553,2819373.5176475304,196.53070424294364,-2.55,7.058
545081.4795571176,2819393.0081579434,218.7770101527843,-2.55,7.058
545071.7831484949,2819410.892798601,239.13526376882984,-2.55,7.058
545062.4150348754,2819428.589942257,259.16640460673614,-2.55,7.058
545045.0931141526,2819460.989858895,295.9229573015993,-2.55,7.058
545034.9772009902,2819480.0615678574,317.43596950043036,-2.55,7.058
545024.8476530248,2819497.559866003,337.6528384355661,-2.55,7.058
545014.5926140333,2819516.4882921535,359.19591715289505,-2.55,7.058
544997.3362303188,2819550.8108111504,397.513093860015,-5.1,7.058
544988.6284692317,2819567.281849789,416.5755270872437,-5.1,7.058
544981.8482449831,2819586.0251934403,437.5566325632868,-5.1,7.058
544981.1199433416,2819605.0536148595,458.92682772279494,-5.1,7.058
544987.9773977192,2819622.5264514275,479.56711206932266,-5.1,7.058
544997.7315011247,2819634.0022341213,495.5660025046453,-5.1,7.058
545017.1207818048,2819647.909072279,521.7682153420712,-5.1,7.058
545028.0107994411,2819651.3581781625,534.7941017138486,-5.1,7.058
545036.659545718,2819650.9119799905,544.4932187911121,-5.1,7.058
545052.183559133,2819648.6930350475,560.8099601830754,-5.1,7.058
545072.3877495739,2819641.0398246543,583.5522922837215,-5.1,7.058
545086.1206726624,2819632.9061099333,600.6677799582683,-5.1,7.058
545102.5215710179,2819620.703115303,621.2506965256777,-5.1,7.058
545117.2640949225,2819609.5925089074,639.904097993873,-5.1,7.058
545130.3588246694,2819599.481221824,656.7915201175363,-2.55,7.058
545148.9120265623,2819586.017913957,679.5701224016277,0.0,7.058
545164.5408370466,2819575.719566312,697.2434708573559,-2.55,7.058
545176.9431189889,2819566.788623198,713.6001866798333,5.1,7.058
545192.1185060398,2819553.9887542385,734.430742756987,5.1,7.058
545206.0188621669,2819545.525070302,750.972175134188,5.1,7.058
545221.5419983469,2819535.858708592,769.0121710293482,5.1,7.058
545240.3363354867,2819523.0646744496,792.0298613143981,5.1,7.058
545257.5503238866,2819513.1301137665,811.9582593594477,5.1,7.058
545273.375237062,2819502.974822705,830.6580340356992,5.1,7.058
545288.5146800234,2819494.550200702,848.1164184960576,5.1,7.058
545305.9430964504,2819483.6161034466,869.116490904751,5.1,7.058
545319.8150493213,2819475.3547839834,884.8515272533673,5.1,7.058
545338.4494843322,2819463.752453203,906.796025245858,5.1,7.058
545354.1020054554,2819456.3639196865,925.4490912795192,5.1,7.058
545368.9272412909,2819450.7474852824,941.5513071451744,2.55,7.058
545382.2501611713,2819445.155170899,955.7462920640904,-2.55,7.058
545404.3865300901,2819438.9744743146,979.6634825703115,-5.1,7.058
545415.2654965854,2819431.7755176355,996.13767411866,-5.1,7.058
545422.933894283,2819423.5485063917,1007.8618757774096,-2.55,7.058
545438.5328465678,2819405.406458007,1031.1158344620742,2.55,7.058
545451.6880568851,2819392.210590599,1050.370883651579,5.1,7.058
545461.3046383373,2819381.412820833,1065.366883138524,5.1,7.058
545477.6019972735,2819364.4354641307,1089.478989637146,5.1,7.058
545489.4524651334,2819355.4142817743,1105.0149935385905,5.1,7.058
545503.4350936628,2819344.818472178,1122.3837757429887,5.1,7.058
545522.3965788005,2819332.040378108,1145.5198198990158,5.1,7.058
545537.8975950001,2819325.1375181046,1163.7665407525246,5.1,7.058
545554.4779555565,2819316.0467553074,1181.827895693841,5.1,7.058
545576.5462780725,2819304.068868663,1207.6580416667014,5.1,7.058
545590.162432901,2819297.8512906074,1222.9344360193224,5.1,7.058
545607.1093238398,2819291.6062447377,1241.2703074759454,5.1,7.058
545622.9416638132,2819285.8881686074,1258.557602258221,5.1,7.058
545647.0990866843,2819280.2071638703,1284.3842843619066,5.1,7.058
545661.4852404982,2819278.2349271514,1298.207939693033,5.1,7.058
545682.5352283339,2819275.994894226,1320.1887165460626,5.1,7.058
545702.0785473547,2819275.025078217,1339.865428541342,5.1,7.058
545723.3666978766,2819273.16461909,1361.1502235754042,5.1,7.058
545736.276055248,2819272.2924424107,1373.887512122366,5.1,7.058
545759.9743758722,2819269.1598653332,1397.866388519368,2.55,7.058
545778.73241886,2819266.943057244,1417.082980282402,2.55,7.058
545800.1181450653,2819266.0856411047,1437.6484347895268,5.1,7.058
545812.9438089832,2819264.188653655,1451.467892612876,5.1,7.058
545827.8211622051,2819263.066604089,1466.641513340451,5.1,7.058
545851.2310990904,2819263.3137350203,1490.0035548842395,5.1,7.058
545861.6685058266,2819263.7843808644,1501.5637345203986,5.1,7.058
545882.151026269,2819266.2700435063,1522.137448267565,5.1,7.058
545901.0796114621,2819267.9494876238,1540.912677327918,5.1,7.058
545924.6915772151,2819268.4462863975,1564.569802405954,2.55,7.058
545940.1662598706,2819270.559354119,1580.1689438859996,2.55,7.058
545963.7395532699,2819271.3776730546,1603.7298418417602,0.0,7.058
545978.727673047,2819273.276277306,1619.056462761837,0.0,7.058
545998.020524859,2819275.5321132606,1638.5724955087894,0.0,7.058
546021.749916928,2819275.7602859517,1662.1026361737242,-2.55,7.058
546039.570328054,2819275.870532108,1680.088994929387,-5.1,7.058
546060.7957425399,2819277.876696086,1701.6160483052845,-5.1,7.058
546075.606135099,2819279.397508766,1716.699356740495,-5.1,7.058
546093.9049187363,2819280.1096359063,1735.587604172909,-5.1,7.058
546110.7612486951,2819279.972573562,1752.5284094002589,-5.1,7.058
546127.238466228,2819275.906992537,1771.4174542425446,-5.1,7.058
546144.1630561108,2819266.9254830596,1790.8474587653586,-5.1,7.058
546157.9054492647,2819254.945334894,1811.0730893169,-5.1,7.058
546169.6427766215,2819239.616862503,1831.3498215674615,-5.1,7.058
546178.8889349137,2819224.9903305382,1849.020174452177,-5.1,7.058
546187.9023340858,2819208.6975710248,1867.7918130856008,-5.1,7.058
546194.718939926,2819195.619487796,1882.2543854263704,-5.1,7.058
546203.9324240733,2819177.3638138063,1902.533362781381,-5.1,7.058
546213.3417325075,2819158.9797120364,1924.2581803413232,-5.1,7.058
546221.895933999,2819144.7861311566,1940.19089941113,-5.1,7.058
546226.3337669634,2819135.0060793255,1951.755523947122,-5.1,7.058
546228.4613707499,2819119.8489989787,1969.2773458876873,-5.1,7.058
546226.1876629498,2819104.9621894774,1985.7324905219596,-5.1,7.058
546217.7137390753,2819088.3454874936,2005.728831455204,-5.1,7.058
546204.357451205,2819066.704700026,2031.1068050149763,-5.1,7.058
546196.9813904093,2819055.985798702,2044.180809510509,-5.1,7.058
546187.6919500794,2819040.473021978,2062.0665644304395,-5.1,7.058
546173.1965541128,2819018.2565652677,2088.613662345661,-5.1,7.058
546164.2216621523,2819003.1517278985,2106.327866383391,-5.1,7.058
546154.15575809,2818988.304096681,2124.0686332479586,-5.1,7.058
546145.7050387606,2818972.5573427635,2141.9197501481667,-5.1,7.058
546135.5430901891,2818959.988171628,2159.6635495473706,-5.1,7.058
546110.3992809746,2818946.93869925,2190.3057072701386,-5.1,7.058
546094.1699997671,2818944.180576235,2208.4924568944775,-5.1,7.058
546082.2475128078,2818946.184690168,2221.4905679736517,-5.1,7.058
546067.5904039718,2818949.205508612,2236.3162744380493,-5.1,7.058
546050.8099678432,2818951.6397162233,2252.6345210520903,-5.1,7.058
546011.3629824959,2818956.130230471,2293.344542951778,0.0,7.058
545991.8962185405,2818958.1656663567,2312.9174297634067,0.0,7.058
545970.6028751007,2818962.1530105257,2334.5808872060315,0.0,7.058
545943.6616512064,2818964.8748873333,2361.498921518412,2.55,7.058
545933.513363078,2818967.125878133,2371.8826182102302,2.55,7.058
545905.5914010376,2818972.0072493628,2400.4512128173387,2.55,7.058
545881.6876239302,2818975.6825972614,2424.342097530151,2.55,7.058
545863.1530732714,2818978.488531644,2442.9781602695903,5.1,7.058
545846.9088243578,2818981.337534694,2460.1311475598372,5.1,7.058
545824.8264090272,2818982.133611672,2483.3986457012056,5.1,7.058
545810.1355981342,2818978.44441452,2499.9550087851476,5.1,7.058
545796.2629142844,2818970.566837697,2517.156750210218,5.1,7.058
545788.1156848844,2818963.218137329,2529.3948982389247,5.1,7.058
545776.5941525175,2818944.9951117397,2552.0622565767594,5.1,7.058
545767.5256183769,2818930.9832216636,2568.892225597044,2.55,7.058
545754.4106869728,2818904.780876076,2597.902197919005,2.55,7.058
545747.4198083021,2818892.56471617,2612.032164667433,2.55,7.058
545739.333306188,2818876.6925796405,2629.953095892156,2.55,7.058
545732.3927350673,2818863.327971364,2644.8628052497997,2.55,7.058
545724.5645612581,2818849.4321432607,2660.9996575999407,2.55,7.058
545712.048778774,2818825.1705560205,2688.216325226523,2.55,7.058
545704.0200786402,2818812.476517399,2703.289030918126,0.0,7.058
545693.5091692687,2818794.7002427075,2723.9513588572295,0.0,7.058
545683.371610606,2818778.157608608,2743.124893645786,-2.55,7.058
545671.5150596118,2818755.2397978636,2769.2013992289963,-2.55,7.058
545665.4770340587,2818743.3097950052,2782.510729968081,-2.55,7.058
